ID,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_name,album_release_date,album_total_tracks,album_type,track_duration_min
1,Trippy Mane (ft. Project Pat),4,0,TRUE,Diplo,77,2812821,moombahton,"d00mscrvll, Vol. 1",10/31/2025,9,album,1.55
2,OMG!,1,0,TRUE,Yelawolf,64,2363438,"country hip hop, southern hip hop",OMG!,10/31/2025,1,single,3.07
3,Hard 2 Find,1,4,TRUE,Riff Raff,48,193302,N/A,Hard 2 Find,10/31/2025,1,single,2.55
4,Still Get Like That (ft. Project Pat & Starrah),8,30,TRUE,Diplo,77,2813710,moombahton,"d00mscrvll, Vol. 1",10/31/2025,9,album,1.69
5,ride me like a harley,2,0,TRUE,Rumelis,48,8682,dark r&b,come closer / ride me like a harley,10/30/2025,2,single,2.39
6,BLEED,1,2,FALSE,Minzie,46,7218,dark r&b,BLEED,10/30/2025,3,single,2.76
7,Te Procuro na Cidade,1,20,FALSE,AZERDK,30,1657,N/A,Te Procuro na Cidade,10/30/2025,1,single,4.12
8,come closer,1,27,FALSE,Rumelis,49,8802,dark r&b,come closer / ride me like a harley,10/30/2025,2,single,2.53
9,Cupido Vagabundo,1,16,FALSE,Toni dos Anjos,6,475,N/A,Cupido Vagabundo,10/30/2025,2,single,2.92
10,LETâ€™S GO!,1,33,TRUE,PsychoYP,48,154802,"nigerian drill, altÃ©, afro adura, afrobeats, afrobeat, afroswing",LETâ€™S GO!,10/28/2025,1,single,2.4
11,Stray,1,30,FALSE,What Matters The Most,25,814,N/A,Stray,10/25/2025,4,single,2.49
12,PAPARAZZI ARRIVE - English Ver.,1,48,FALSE,A2O,46,13826,c-pop,PAPARAZZI ARRIVE,10/24/2025,14,album,2.89
13,Root of all Evil,5,65,FALSE,Daniel Caesar,85,11137714,N/A,Son Of Spergy,10/24/2025,12,album,4.41
14,Letâ€™s Go!!,2,0,TRUE,Ovi Jozi,17,3567,N/A,"High Risk, High Reward",10/24/2025,6,single,2.05
15,MELODY - CHENYU & SHIJIE & QUCHANG,11,27,FALSE,A2O,46,13590,c-pop,PAPARAZZI ARRIVE,10/24/2025,14,album,4.25
16,My Muse,2,67,TRUE,Leon Thomas,74,735818,N/A,PHOLKS,10/24/2025,7,single,2.75
17,A Real Good Bad One,1,31,FALSE,Joe Hermes,23,1518,N/A,A Real Good Bad One,10/24/2025,1,single,2.73
18,BOSS - English Ver.,3,33,FALSE,A2O,46,13826,c-pop,PAPARAZZI ARRIVE,10/24/2025,14,album,2.92
19,Bridges,1,11,FALSE,Scarlett Butler,3,364,N/A,Bridges,10/24/2025,1,single,2.91
20,Can't Go Back,1,30,FALSE,LEROCQUE,23,13770,N/A,Can't Go Back,10/24/2025,1,single,2.43
21,Deeply Still,1,35,FALSE,Xander Ward,35,729,N/A,Deeply Still,10/24/2025,1,single,2.91
22,Eggshell Tap Dancer,1,52,FALSE,The All-American Rejects,67,3134186,"pop punk, emo",Eggshell Tap Dancer,10/24/2025,4,single,3.78
